,media,dp
ZeroR,0.33333333333333337,5.551115123125783e-17
OneR,0.9533333333333334,0.06699917080747259
ProbOneR,0.8399999999999999,0.155492050529208
Centroid,0.9333333333333333,0.059628479399994376
CentOneR,0.9600000000000002,0.05333333333333332
GaussianNB,0.9533333333333334,0.04268749491621898
