,media,dp
ZeroR,0.6274274047186933,0.00441189245975379
OneR,0.9141463572724915,0.039822475517287674
ProbOneR,0.8594751966122202,0.03200331678117153
Centroid,0.8913641863278887,0.03879383921566746
CentOneR,0.9034309912712816,0.036006020163806926
GaussianNB,0.9386796733212339,0.030112887483699426
